銀行名稱,銀行代碼,卡片名稱,卡片類型,回饋亮點1,回饋亮點2,回饋亮點3,申辦連結,資料來源,更新時間
中國信託銀行,ctbc,中信ALL ME卡,一般,,,,https://www.ctbcbank.com/content/dam/minisite/long/creditcard/ALLME/index.html,https://www.ctbcbank.com/content/dam/minisite/long/creditcard/ALLME/index.html,2026-05-30
中國信託銀行,ctbc,中信Agoda聯名卡,聯名卡,,,,https://mkt.ctbcbank.com/long/creditcard/agoda/index.html,https://mkt.ctbcbank.com/long/creditcard/agoda/index.html,2026-05-30
中國信託銀行,ctbc,中信LINE Pay卡,一般,,,,https://www.ctbcbank.com/content/dam/minisite/long/creditcard/LINEPay/index.html,https://www.ctbcbank.com/content/dam/minisite/long/creditcard/LINEPay/index.html,2026-05-30
中國信託銀行,ctbc,中信foodpanda聯名卡,聯名卡,,,,https://www.ctbcbank.com/content/dam/minisite/long/creditcard/foodpanda/index.html,https://www.ctbcbank.com/content/dam/minisite/long/creditcard/foodpanda/index.html,2026-05-30
中國信託銀行,ctbc,中信uniopen卡,一般,,,,https://www.ctbcbank.com/content/dam/minisite/long/creditcard/uniopen/index.html,https://www.ctbcbank.com/content/dam/minisite/long/creditcard/uniopen/index.html,2026-05-30
中國信託銀行,ctbc,中信中油聯名卡,聯名卡,,,,https://www.ctbcbank.com/content/dam/minisite/long/creditcard/CPC/index.html,https://www.ctbcbank.com/content/dam/minisite/long/creditcard/CPC/index.html,2026-05-30
中國信託銀行,ctbc,中信中華航空聯名卡,聯名卡,,,,https://www.ctbcbank.com/content/dam/minisite/long/creditcard/CTBCCI/index.html,https://www.ctbcbank.com/content/dam/minisite/long/creditcard/CTBCCI/index.html,2026-05-30
中國信託銀行,ctbc,中信台北101聯名卡,聯名卡,,,,https://www.ctbcbank.com/content/dam/minisite/long/creditcard/Taipei101/index.html,https://www.ctbcbank.com/content/dam/minisite/long/creditcard/Taipei101/index.html,2026-05-30
中國信託銀行,ctbc,中信和泰聯名卡,聯名卡,,,,https://www.ctbcbank.com/content/dam/minisite/long/creditcard/Hotai/index.html,https://www.ctbcbank.com/content/dam/minisite/long/creditcard/Hotai/index.html,2026-05-30
中國信託銀行,ctbc,中信商旅鈦金卡,一般,,,,https://www.ctbcbank.com/content/dam/minisite/long/creditcard/bussiness/index.html,https://www.ctbcbank.com/content/dam/minisite/long/creditcard/bussiness/index.html,2026-05-30
中國信託銀行,ctbc,中信秀泰聯名卡,聯名卡,,,,https://www.ctbcbank.com/content/dam/minisite/long/creditcard/showtime/index.html,https://www.ctbcbank.com/content/dam/minisite/long/creditcard/showtime/index.html,2026-05-30
中國信託銀行,ctbc,中信財管鼎鑽卡,一般,,,,https://mkt.ctbcbank.com/long/creditcard/WMmember/index.html,https://mkt.ctbcbank.com/long/creditcard/WMmember/index.html,2026-05-30
中國信託銀行,ctbc,中信遠東SOGO聯名卡,聯名卡,,,,https://www.ctbcbank.com/content/dam/minisite/long/creditcard/SOGO/index.html,https://www.ctbcbank.com/content/dam/minisite/long/creditcard/SOGO/index.html,2026-05-30
元大銀行,yuanta,Hello Kitty分享聯名卡,聯名卡,,,,https://www.yuantabank.com.tw/bank/creditCard/creditCard/in.do?id=461462f877000006fa39,https://www.yuantabank.com.tw/bank/creditCard/creditCard/list.do,2026-05-30
元大銀行,yuanta,Hello Kitty鑽金聯名卡,聯名卡,,,,https://www.yuantabank.com.tw/bank/creditCard/creditCard/in.do?id=473f33ce38000002e0e9,https://www.yuantabank.com.tw/bank/creditCard/creditCard/list.do,2026-05-30
元大銀行,yuanta,Hello Kitty點數聯名卡,聯名卡/紅利點數,,,,https://www.yuantabank.com.tw/bank/creditCard/creditCard/in.do?id=475cc91b9800000322db,https://www.yuantabank.com.tw/bank/creditCard/creditCard/list.do,2026-05-30
元大銀行,yuanta,icash愛現晶緻/鈦金卡,一般,,,,https://www.yuantabank.com.tw/bank/creditCard/creditCard/in.do?id=31c2b8b0fd00000123c4,https://www.yuantabank.com.tw/bank/creditCard/creditCard/list.do,2026-05-30
元大銀行,yuanta,元大證券聯名卡,聯名卡,,,,https://www.yuantabank.com.tw/bank/creditCard/creditCard/in.do?id=470c0634cd0000059efa,https://www.yuantabank.com.tw/bank/creditCard/creditCard/list.do,2026-05-30
元大銀行,yuanta,分享黑啤悠遊聯名卡,聯名卡,,,,https://www.yuantabank.com.tw/bank/creditCard/creditCard/in.do?id=68a79aa15f0000076ba9,https://www.yuantabank.com.tw/bank/creditCard/creditCard/list.do,2026-05-30
元大銀行,yuanta,樂享晶緻/icash樂享卡,一般,,,,https://www.yuantabank.com.tw/bank/creditCard/creditCard/in.do?id=31c2ba30960000058da8,https://www.yuantabank.com.tw/bank/creditCard/creditCard/list.do,2026-05-30
元大銀行,yuanta,鑽金icash聯名卡,聯名卡,,,,https://www.yuantabank.com.tw/bank/creditCard/creditCard/in.do?id=31c2b4611f000004dd12,https://www.yuantabank.com.tw/bank/creditCard/creditCard/list.do,2026-05-30
元大銀行,yuanta,鑽金悠遊聯名卡,聯名卡,,,,https://www.yuantabank.com.tw/bank/creditCard/creditCard/in.do?id=6851bfce6700000373e2,https://www.yuantabank.com.tw/bank/creditCard/creditCard/list.do,2026-05-30
元大銀行,yuanta,鑽金智富iPASS聯名卡,聯名卡,,,,https://www.yuantabank.com.tw/bank/creditCard/creditCard/in.do?id=47bfb5ba85000006ef03,https://www.yuantabank.com.tw/bank/creditCard/creditCard/list.do,2026-05-30
