年,月-期底,機構類型名稱,機構名稱,流通卡數-張,有效卡數-張,本月發卡數-張,本月停卡數-張,循環信用餘額-新臺幣百萬元,本月簽帳金額-新臺幣百萬元,本月預借現金金額-新臺幣百萬元,逾期帳款比率-%,備抵呆帳提足率-%,本月轉銷呆帳金額-新臺幣百萬元,循環信用利息收入-新臺幣百萬元,簽帳手續費收入-新臺幣百萬元,預借現金手續費-新臺幣百萬元,收單特約商店家數-家
104,1,本國銀行,臺灣銀行#,225744,115423,502,1591,242,654,1,0.33,518.01,0,3,11,0,1096
104,1,本國銀行,臺灣土地銀行,123416,54717,654,817,205,338,1,0.34,1696.12,2,2,5,0,3590
104,1,本國銀行,合作金庫商業銀行#,400723,237647,2606,7719,602,1698,4,0.93,250.73,0,6,25,0,28206
104,1,本國銀行,第一商業銀行#,813420,555037,15215,8392,1309,3554,15,0.23,1484.23,5,18,54,0,772
104,1,本國銀行,華南商業銀行#,749151,517241,12108,9691,665,3140,1,0.08,1367.98,0,8,62,0,5356
104,1,本國銀行,彰化商業銀行,391021,205866,4243,4129,196,1030,1,0.22,769.65,0,4,14,0,283
104,1,本國銀行,上海商業儲蓄銀行,387885,198848,1303,5180,781,1225,8,0.76,1731.11,0,10,20,0,186
104,1,本國銀行,台北富邦銀行#,2376014,1612315,32688,24669,6918,12869,96,0.2,733.96,21,89,183,4,493
104,1,本國銀行,國泰世華商業銀行#,4797855,3371865,67494,32495,14674,24754,250,0.13,2174.53,29,189,294,5,9231
104,1,本國銀行,高雄銀行,9052,4615,75,54,6,132,0,0.04,1410.2,0,0,0,0,1116
104,1,本國銀行,兆豐國際商業銀行#,569958,386467,6661,6186,1314,2415,8,0.16,868.85,3,19,40,0,61
104,1,本國銀行,花旗(台灣)商業銀行,2907945,2488489,19561,30528,17258,20020,191,0.49,751.47,114,232,256,6,34331
104,1,本國銀行,澳盛(台灣)商業銀行,645317,382432,5517,4524,3474,3468,19,0.31,5231.05,15,47,28,1,963
104,1,本國銀行,臺灣中小企業銀行,336640,135226,1164,1844,580,865,5,0.22,1014.85,2,8,9,0,5
104,1,本國銀行,渣打國際商業銀行,418806,272500,10552,4529,2276,1621,8,0.5,452.89,13,33,25,0,0
104,1,本國銀行,台中商業銀行,156299,59402,1548,762,213,359,0,1.68,462.67,0,3,5,0,495
104,1,本國銀行,滙豐(台灣)商業銀行,618602,440435,9153,6353,3166,4346,59,0.26,2097.18,8,45,62,1,6
104,1,本國銀行,華泰商業銀行,10501,6726,32,69,20,64,0,0.76,180.65,0,0,1,0,0
104,1,本國銀行,臺灣新光商業銀行#,915711,449771,7713,5476,2260,3142,19,0.18,245.74,6,28,67,0,2109
104,1,本國銀行,陽信商業銀行,66629,37552,995,567,281,234,0,0.4,987.81,0,3,4,0,10
104,1,本國銀行,三信商業銀行,16466,11127,494,73,34,129,0,0.34,4126.95,0,0,1,0,0
104,1,本國銀行,聯邦商業銀行,1777391,791475,22905,16288,5102,5109,187,0.27,129.88,12,52,80,1,3394
104,1,本國銀行,遠東國際商業銀行,1493439,1012732,14502,8844,5375,5104,230,0.26,100.43,12,84,77,1,13
104,1,本國銀行,元大商業銀行#,314627,152457,8171,1919,474,1593,1,0.26,1009.05,2,5,27,0,83
104,1,本國銀行,永豐商業銀行#,2184231,1321057,19290,13230,4936,7093,124,0.3,1250.97,14,77,97,3,3981
104,1,本國銀行,玉山商業銀行#,3715397,2555721,48512,27383,10558,18400,159,0.23,2568.97,38,138,259,6,13368
104,1,本國銀行,凱基商業銀行#,496348,193451,5168,4100,1301,731,12,1.36,181.77,6,18,0,0,3282
104,1,本國銀行,星展(台灣)商業銀行,12544,6575,120,120,17,64,0,0.65,1036.82,0,0,1,0,0
104,1,本國銀行,台新國際商業銀行#,3514678,2408179,46223,28772,10470,14230,135,0.26,603.67,17,107,210,8,74467
104,1,本國銀行,大眾商業銀行,591031,292736,9195,7598,914,1776,70,0.0,485.37,9,21,31,1,340
104,1,本國銀行,日盛國際商業銀行#,192269,108054,406,939,507,399,10,0.29,290.09,3,6,5,0,0
104,1,本國銀行,安泰商業銀行,204451,71396,1025,1016,486,461,1,0.25,429.35,0,5,7,0,2982
104,1,本國銀行,中國信託商業銀行#,5820462,3763510,96600,32840,15298,25227,618,0.15,745.08,63,172,329,37,67121
104,1,信用卡公司,台灣樂天信用卡股份有限公司,879,173,747,1,0,2,0,0.0,0.0,0,0,0,0,0
104,1,信用卡公司,台灣美國運通國際(股)公司,161932,89728,3028,2613,329,3863,0,0.09,518.49,6,3,67,0,80844
104,1,信用卡公司,台灣大來國際信用卡(股)公司,25438,9971,5,476,25,47,1,2.05,9.82,0,0,0,0,3370
104,1,信用卡公司,台灣永旺信用卡(股)公司,109293,82025,2924,11652,343,214,3,1.6,728.8,3,5,3,0,383
104,1,信用卡公司,香港商台灣環滙亞太信用卡,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,10017
104,1,信用卡公司,財團法人聯合信用卡處理中心,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,91369
104,2,本國銀行,臺灣銀行#,225585,114319,362,813,237,627,1,0.46,382.97,1,2,10,0,1098
104,2,本國銀行,臺灣土地銀行,123608,54397,574,456,202,328,0,0.25,2023.32,1,2,5,0,3604
104,2,本國銀行,合作金庫商業銀行#,395722,237050,1876,7452,582,1995,3,0.47,304.68,13,5,25,0,28348
104,2,本國銀行,第一商業銀行#,820834,561420,11428,6011,1314,3489,9,0.2,1611.82,6,19,49,0,872
104,2,本國銀行,華南商業銀行#,749500,521096,8874,6561,646,3043,1,0.11,1095.61,0,8,57,0,5442
104,2,本國銀行,彰化商業銀行,393646,203693,4263,2283,209,1001,0,0.13,1083.38,2,3,13,0,283
104,2,本國銀行,上海商業儲蓄銀行,386692,197053,1043,2236,750,1008,5,0.59,1963.79,4,8,17,0,213
104,2,本國銀行,台北富邦銀行#,2381816,1613526,22832,17030,6847,11398,67,0.18,782.9,26,73,184,3,495
104,2,本國銀行,國泰世華商業銀行#,4830914,3400863,55230,22171,14469,22958,182,0.11,2229.89,28,181,240,4,9259
104,2,本國銀行,高雄銀行,9067,4395,44,27,6,122,0,0.03,1444.05,0,0,0,0,1101
104,2,本國銀行,兆豐國際商業銀行#,571239,386102,5339,4058,1333,2338,7,0.13,961.68,3,16,41,0,62
104,2,本國銀行,花旗(台灣)商業銀行,2929905,2501556,13368,25821,17432,18302,122,0.61,598.67,0,209,237,4,38134
104,2,本國銀行,澳盛(台灣)商業銀行,637181,380200,3963,12043,3434,3000,15,0.35,4744.66,9,41,26,1,963
104,2,本國銀行,臺灣中小企業銀行,336339,134468,982,1283,577,909,4,0.19,436.31,3,6,8,0,5
104,2,本國銀行,渣打國際商業銀行,421540,274861,6423,3639,2269,1478,4,0.52,454.62,11,26,22,0,0
104,2,本國銀行,台中商業銀行,157347,59826,1808,536,193,364,0,2.06,372.97,0,3,5,0,541
104,2,本國銀行,滙豐(台灣)商業銀行,620837,443960,6915,4680,3107,3838,45,0.28,2017.89,6,40,56,1,6
104,2,本國銀行,華泰商業銀行,10451,6760,14,52,22,55,0,0.93,189.06,0,0,1,0,0
104,2,本國銀行,臺灣新光商業銀行#,898152,450493,8131,4039,2242,3218,12,0.15,249.52,6,26,69,0,2117
104,2,本國銀行,陽信商業銀行,66977,37778,861,376,263,220,0,0.71,856.38,0,2,3,0,38
104,2,本國銀行,三信商業銀行,16556,11162,202,58,36,111,0,0.31,4596.21,0,0,1,0,0
104,2,本國銀行,聯邦商業銀行,1772811,796158,10102,14682,5059,4971,136,0.26,129.12,12,49,74,1,3416
104,2,本國銀行,遠東國際商業銀行,1482479,1016220,10671,21646,5421,4498,188,0.28,100.36,11,84,37,1,27
104,2,本國銀行,元大商業銀行#,323288,158407,9708,1351,437,1534,1,0.23,1035.57,1,5,26,0,83
104,2,本國銀行,永豐商業銀行#,2180900,1317301,13189,16520,4942,6634,81,0.27,1294.25,15,77,92,3,4127
104,2,本國銀行,玉山商業銀行#,3725189,2570752,28676,18884,10482,17299,86,0.22,2495.28,38,93,250,5,13829
104,2,本國銀行,凱基商業銀行#,497641,194197,4480,3193,1311,645,7,1.45,175.0,4,18,6,0,3397
104,2,本國銀行,星展(台灣)商業銀行,12549,6519,70,65,16,58,0,0.77,980.47,0,0,1,0,0
104,2,本國銀行,台新國際商業銀行#,3530779,2415822,31093,14992,10450,13620,114,0.25,592.95,21,96,221,7,74872
104,2,本國銀行,大眾商業銀行,591668,294166,7327,6664,906,1540,51,0.0,479.86,7,19,26,0,426
104,2,本國銀行,日盛國際商業銀行#,192012,108007,383,640,495,379,7,0.26,362.67,2,6,5,0,0
104,2,本國銀行,安泰商業銀行,204291,70917,800,679,485,390,1,0.29,452.62,0,5,6,0,2985
104,2,本國銀行,中國信託商業銀行#,5826421,3793427,49341,34009,14908,25210,479,0.16,725.39,54,174,316,33,67737
104,2,信用卡公司,台灣樂天信用卡股份有限公司,2493,1295,1607,1,0,24,0,0.0,0.0,0,0,1,0,0
104,2,信用卡公司,台灣美國運通國際(股)公司,162219,89755,2210,1923,331,3296,0,0.08,677.1,2,3,60,0,80949
104,2,信用卡公司,台灣大來國際信用卡(股)公司,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0
104,2,信用卡公司,台灣永旺信用卡(股)公司,107848,74068,243,1693,330,188,3,1.57,782.86,3,5,3,0,377
104,2,信用卡公司,香港商台灣環滙亞太信用卡,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,10036
104,2,信用卡公司,財團法人聯合信用卡處理中心,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,91546
104,2,本國銀行,臺灣銀行#,225585,114319,362,813,237,627,1,0.46,382.97,1,2,10,0,1098
104,2,本國銀行,臺灣土地銀行,123608,54397,574,456,202,328,0,0.25,2023.32,1,2,5,0,3604
104,2,本國銀行,合作金庫商業銀行#,395722,237050,1876,7452,582,1995,3,0.47,304.68,13,5,25,0,28348
104,2,本國銀行,第一商業銀行#,820834,561420,11428,6011,1314,3489,9,0.2,1611.82,6,19,49,0,872
104,2,本國銀行,華南商業銀行#,749500,521096,8874,6561,646,3043,1,0.11,1095.61,0,8,57,0,5442
104,2,本國銀行,彰化商業銀行,393646,203693,4263,2283,209,1001,0,0.13,1083.38,2,3,13,0,283
104,2,本國銀行,上海商業儲蓄銀行,386692,197053,1043,2236,750,1008,5,0.59,1963.79,4,8,17,0,213
104,2,本國銀行,台北富邦銀行#,2381816,1613526,22832,17030,6847,11398,67,0.18,782.9,26,73,184,3,495
104,2,本國銀行,國泰世華商業銀行#,4830914,3400863,55230,22171,14469,22958,182,0.11,2229.89,28,181,240,4,9259
104,2,本國銀行,高雄銀行,9067,4395,44,27,6,122,0,0.03,1444.05,0,0,0,0,1101
104,2,本國銀行,兆豐國際商業銀行#,571239,386102,5339,4058,1333,2338,7,0.13,961.68,3,16,41,0,62
104,2,本國銀行,花旗(台灣)商業銀行,2929905,2501556,13368,25821,17432,18302,122,0.61,598.67,0,209,237,4,38134
104,2,本國銀行,澳盛(台灣)商業銀行,637181,380200,3963,12043,3434,3000,15,0.35,4744.66,9,41,26,1,963
104,2,本國銀行,臺灣中小企業銀行,336339,134468,982,1283,577,909,4,0.19,436.31,3,6,8,0,5
104,2,本國銀行,渣打國際商業銀行,421540,274861,6423,3639,2269,1478,4,0.52,454.62,11,26,22,0,0
104,2,本國銀行,台中商業銀行,157347,59826,1808,536,193,364,0,2.06,372.97,0,3,5,0,541
104,2,本國銀行,滙豐(台灣)商業銀行,620837,443960,6915,4680,3107,3838,45,0.28,2017.89,6,40,56,1,6
104,2,本國銀行,華泰商業銀行,10451,6760,14,52,22,55,0,0.93,189.06,0,0,1,0,0
104,2,本國銀行,臺灣新光商業銀行#,898152,450493,8131,4039,2242,3218,12,0.15,249.52,6,26,69,0,2117
104,2,本國銀行,陽信商業銀行,66977,37778,861,376,263,220,0,0.71,856.38,0,2,3,0,38
104,2,本國銀行,三信商業銀行,16556,11162,202,58,36,111,0,0.31,4596.21,0,0,1,0,0
104,2,本國銀行,聯邦商業銀行,1772811,796158,10102,14682,5059,4971,136,0.26,129.12,12,49,74,1,3416
104,2,本國銀行,遠東國際商業銀行,1482479,1016220,10671,21646,5421,4498,188,0.28,100.36,11,84,37,1,27
104,2,本國銀行,元大商業銀行#,323288,158407,9708,1351,437,1534,1,0.23,1035.57,1,5,26,0,83
104,2,本國銀行,永豐商業銀行#,2180900,1317301,13189,16520,4942,6634,81,0.27,1294.25,15,77,92,3,4127
