卡片名稱,網址,亮點
中信LINE Pay卡,https://www.ctbcbank.com/content/dam/minisite/long/creditcard/LINEPay/index.html,LINE POINTS 最高 16% 回饋｜國內外一般消費 1% 回饋｜國外實體商店消費 2.8% 回饋
中信ALL ME卡,https://mkt.ctbcbank.com/long/creditcard/ALLME_CHT/index.html,天天享 3% 回饋｜月月賺 $300｜國外消費 2.2% 無上限
中信foodpanda聯名卡,https://www.ctbcbank.com/content/dam/minisite/long/creditcard/foodpanda/index.html,foodpanda 點餐享胖達幣回饋｜全站消費最高 10% 胖達幣回饋
中信和泰聯名卡,https://www.ctbcbank.com/content/dam/minisite/long/creditcard/Hotai/index.html,iRent / yoxi 享最高 10% 回饋｜和泰集團通路享和泰 Points
中信中華航空聯名卡,https://www.ctbcbank.com/content/dam/minisite/long/creditcard/CTBCCI/index.html,國外消費最高 2 元 = 1 哩程｜華航官網購票享優惠
中信uniopen聯名卡,https://www.ctbcbank.com/content/dam/minisite/long/creditcard/uniopen/index.html,7-ELEVEN / 統一集團通路最高 8% OPENPOINT｜新戶首刷禮
中信遠東SOGO聯名卡,https://www.ctbcbank.com/content/dam/minisite/long/creditcard/SOGO/index.html,SOGO 百貨單筆消費最高 6% 回饋｜週年慶滿額禮
中信財管鼎鑽卡,https://mkt.ctbcbank.com/long/creditcard/WMmember/index.html,財富管理會員專屬權益｜機場接送、貴賓室、高爾夫禮遇
中信商旅鈦金卡,https://www.ctbcbank.com/content/dam/minisite/long/creditcard/bussiness/index.html,指定通路最高回饋｜新戶首刷享刷卡金
中信中油聯名卡,https://www.ctbcbank.com/content/dam/minisite/long/creditcard/CPC/index.html,中油直營站綁定中油 Pay 最高 6.8% 回饋｜新戶最高贈 $300 加油金
中信Taipei 101聯名卡,https://www.ctbcbank.com/content/dam/minisite/long/creditcard/Taipei101/index.html,Taipei 101 樓層消費享回饋｜卡友訂位特權
中信秀泰聯名卡,https://www.ctbcbank.com/content/dam/minisite/long/creditcard/showtime/index.html,秀泰影城享電影票優惠｜影城內消費回饋
中信Agoda聯名卡,https://mkt.ctbcbank.com/long/creditcard/agoda/index.html,Agoda 訂房享 A 金回饋｜海外消費最高回饋
