bank_name,review_id,username,rating,content,reply,thumbs_up,review_date,app_version
國泰世華,e613205a-7904-4f1b-a3bb-6d10ec9350c1,Rex Zeng,1,打不開，也沒說何時修好或是解決方案,,0,2026-04-16,7.9.1501.335
國泰世華,e3ee907b-c1f8-4af5-987c-e55a34b587a5,姚遙,5,國泰世華App超好用，很直覺操作,,0,2026-04-15,7.9.1501.335
國泰世華,1bf467a6-f4b4-4793-9071-9a41a5abc0ea,白安豪,1,打不開,,1,2026-04-14,7.9.1501.335
國泰世華,48d21129-fb23-4386-9124-abc9d512f08b,詠蓮,1,非常難登入 超級不好用,,1,2026-04-13,7.9.1501.335
國泰世華,e7e0bc6c-3f63-4613-82b0-efbc8c5c994e,左蓉庭,3,最近要進入業面ㄧ直用指紋辨識ㄧ直進不去需要改進,,1,2026-04-12,7.9.1501.335
國泰世華,6dd140dd-b159-404d-9eb0-b478c85c970e,星夢,1,收個驗證碼收100年收不到 笑死,,0,2026-04-11,7.9.1501.335
國泰世華,9fa8323c-1bca-4321-b014-4db8252588de,馬居士,1,國泰那麽大的一流銀行，登錄個網銀還要排隊、斷線... 一流的銀行；三流的網銀,,4,2026-04-11,7.9.1501.335
國泰世華,be9a1a0c-e6f0-4f05-ae6a-545090545b6a,Ian Yi-An Wang,1,非常差勁！Android 鍵盤收起與 App 返回邏輯衝突，導致註冊流程不斷中斷，直接耗盡每日 3 次 OTP 次數。設計極度不專業，完全沒考慮 Android 用戶的操作習慣，一星都不想給。,,0,2026-04-11,7.9.1501.335
國泰世華,2cb32fea-cb08-4102-9e56-7dfe36146f0c,詹奕甄（YEATS CHAN）,4,我要提高額度，謝謝。,,0,2026-04-10,7.9.1501.335
國泰世華,e6c55016-6ac4-4942-af79-fdea84449b2e,羅富元,1,爛東西……NOTE10+一直卡開始畫面不能登入使用……麻煩請解決,,0,2026-04-10,7.9.1501.335
國泰世華,289eaa2b-6fb3-47ec-bc35-0f0c086eb1df,王千維（星端）,1,要切刷卡方案卡半天,,0,2026-04-10,7.9.1501.335
國泰世華,bd90d780-92f6-47f3-8fda-7fb9c814b86f,Arnold Hoshina,1,第一次聽到登錄因為人多要排隊的 會不會太離譜了,,0,2026-04-10,7.9.1401.334
國泰世華,b1aacf6c-a611-4a22-a821-0236e308338d,柳orange,1,今天使用要排隊,,0,2026-04-10,7.9.1501.335
國泰世華,66512a54-12e4-4c0f-99e1-21146d932d0c,Ikaros HS,1,什麼鬼軟體，第一次看過網銀還要排隊才能使用… 沒那資本別做線上服務了好嗎？,,4,2026-04-10,7.9.1501.335
國泰世華,212202d1-4064-41c9-bb1c-a722c791c0c8,戥愛任,1,用app還要排隊,,0,2026-04-10,7.9.1501.335
國泰世華,de425b73-7062-4c64-aafd-d9b627a7084e,Eric Chen,1,第一次遇到用數位銀行還要排隊等登入，好不容易排完隊後，還說目前無法使用生物認證，要輸入帳號密碼，輸入完要登入，說已經登入過，要取消前一次登入嗎？ 選擇保留這次登入，然後要重新再排隊一次...好不容易又排到隊登入後，一直在錯誤重新讀取，爛透了！,,1,2026-04-10,7.9.1401.334
國泰世華,596fb893-2195-4fdf-b493-5f332bb72dc2,黃信翔,1,偶爾有這種明明是當機，找理由說人多要排隊的狀況！ 請不要找藉口，快點把app修好比較實在！,,0,2026-04-10,7.9.1501.335
國泰世華,10cb9c20-e84b-4a22-a9f1-e52bc4d775ed,Santo 51,1,為什麼進入app 還要排隊！！？？ 生物識別也無法使用！！！,,0,2026-04-10,7.9.1501.335
國泰世華,3c5fad39-f519-4d0e-b01c-2ff269d3b6ef,Grenzer,2,系統不穩,,0,2026-04-10,7.9.1501.335
國泰世華,d9af858e-fd2e-48b8-8956-2a815a7b3339,rico Yao,4,登入竟然要等等等😂😂😂,,0,2026-04-10,7.9.1501.335
國泰世華,b2abeb7b-7652-4e3d-af36-a3fd2e66d4d7,楊榮祥,1,使用還要排隊太誇張了吧,,0,2026-04-10,7.9.1501.335
國泰世華,12d2f59b-a8f1-45a3-8b0c-791ada3db985,Tung–Min Tsai,1,國泰不管是網銀還是樹精靈，使用經驗令人憤怒，延遲、當機或在上班或交易時間出現（2026.4.10這一天最扯），嚴重影響當事人權益，搞半天也不見徹底改善，AI客服簡直是在侮辱AI。這些損失都只能自己吞，我一直在忍耐，尋找另一個令人滿意的新網銀。,,0,2026-04-10,7.9.1501.335
國泰世華,73b86408-e4e9-4e29-a1a2-9d0fe039b1dd,黃柏嘉,1,網銀app 登入還要排隊，搞什麼飢餓行銷,,0,2026-04-10,7.9.1501.335
國泰世華,ba83db51-bbd3-41e5-9d84-12cdd02ee02f,周文成,1,第一次使用到要排隊等進入的app 會因為這個app想把信用卡停掉,,0,2026-04-10,7.9.1501.335
國泰世華,0fc3068b-1e91-4607-96a3-66d6ab576a65,Daphne Chang,1,系統頻出現使用人數眾多無法立即使用，還需排隊等候使用,,0,2026-04-10,7.9.1301.326
國泰世華,12e35093-c170-4844-b154-16140ab01172,Liao Jason,1,銀行app居然要排隊，請貴公司的IT跟SRE可以Fire掉了。,,0,2026-04-10,7.9.1501.335
國泰世華,546005b7-05af-475e-b252-906cbed33b90,Jojeam Chen,1,今天系統是不是又壞了,,0,2026-04-10,7.9.1501.335
國泰世華,636e1f70-dcc5-4830-af98-8ccb01213068,黃十坪,1,十幾年過去了，還是沒改進，越來越爛。登錄還要排隊了。,,1,2026-04-10,7.9.1501.335
國泰世華,e54353e7-361f-46a9-bff0-1fc83bdfdd82,胖胖爸,2,"登入App 指紋解鎖還需要等那麼久, 越做越回去了, 人家是越改越快越改越安全 ,國泰世華越改越慢",,0,2026-04-10,7.9.1501.335
國泰世華,66af527f-8306-4355-a65f-31b479c3e91b,Hung-Chia Hsu,1,針對網銀app也要排隊這功能，我願給國泰1星評價以表支持。,,0,2026-04-10,
國泰世華,79eb08b5-5cf3-456e-9d14-751683c88572,淑娟謝,1,一直在等待畫面，進去了也沒有辦法轉帳😓😓,,0,2026-04-10,7.9.1501.335
國泰世華,8e0eb875-0fc3-4a51-9711-0a99f098773c,eason,1,登入超久，登入後還會卡住，是怎麼樣，很爛餒,,0,2026-04-10,7.9.1501.335
